model,split,csr_all,csr_dow,csr_mon,csr_leap,csr_dec,valid_rate
random,val,0.0886,0.1458,1.0,0.6282,1.0,1.0
smart_random,val,0.9998,0.9998,1.0,0.9998,1.0,1.0
random,test_random,0.0962,0.1454,1.0,0.6288,1.0,1.0
smart_random,test_random,0.9996,0.9996,1.0,0.9996,1.0,1.0
random,held_out_tuples,0.1076233183856502,0.1578475336322869,1.0,0.6529147982062781,1.0,1.0
smart_random,held_out_tuples,1.0,1.0,1.0,1.0,1.0,1.0
cvae,val,0.999,0.999,0.9998,0.9998,0.9998,0.9998
cvae,test_random,0.9992,0.9992,0.9998,0.9998,0.9998,0.9998
cvae,held_out_tuples,1.0,1.0,1.0,1.0,1.0,1.0
acgan,val,0.1494,0.1496,0.9982,0.996,0.9982,0.9982
acgan,test_random,0.1418,0.1424,0.9986,0.9952,0.9986,0.9986
acgan,held_out_tuples,0.1273542600896861,0.1282511210762331,0.9991031390134528,0.9964125560538116,0.9991031390134528,0.9991031390134528
maskgit,val,0.1376,0.1376,1.0,1.0,1.0,1.0
maskgit,test_random,0.1408,0.1408,0.9998,0.9998,0.9998,0.9998
maskgit,held_out_tuples,0.1506726457399103,0.1506726457399103,1.0,1.0,1.0,1.0
mdlm,val,0.9928,0.9928,0.9984,0.9984,0.9984,0.9984
mdlm,test_random,0.9938,0.994,0.999,0.9988,0.999,0.999
mdlm,held_out_tuples,0.988340807174888,0.988340807174888,0.9991031390134528,0.9991031390134528,0.9991031390134528,0.9991031390134528
